License Number,Status,License Type,Orig. Iss. Date,Expir. Date,Primary Owner,Premises Addr.,Business Name,Geo Code,County
132432,ACTIVE,20,2/15/1983,2/28/2021,"HUSSEIN, SUDEEK A","1524 100TH AVE,OAKLAND, CA  94603Census Tract:  4104.00",Q & S MARKET,109,Alameda
152320,ACTIVE,20,2/27/1984,10/31/2020,TRUMPETVINE CATERING INC,"2533 7TH ST,BERKELEY, CA  94710Census Tract:  4220.00",TRUMPETVINE CATERING,103,Alameda
166182,ACTIVE,21,12/28/1984,2/28/2021,"OH, SUNG KEUN","20388 LAKE CHABOT RD,CASTRO VALLEY, CA  94546Census Tract:  4309.00",CHABOT LIQUOR,100,Alameda
171183,ACTIVE,20,5/16/1985,3/31/2021,"HERNANDEZ, BERTHA A","2701 E 9TH ST,OAKLAND, CA  94601Census Tract:  4061.00",LA BARCA MARKET,109,Alameda
183595,ACTIVE,20,2/4/1986,5/31/2021,"NAGI, YAHIA KAID","2123 90TH AVE,OAKLAND, CA  94603Census Tract:  4097.00",ROWAID MARKET,109,Alameda
184905,ACTIVE,20,4/11/1986,5/31/2021,"JUHA, GEORGE S","2442 DURANT AVE,BERKELEY, CA  94704Census Tract:  4228.00",,103,Alameda
190334,ACTIVE,20,2/26/1987,4/30/2021,"NGUYEN, BICH NGOC","2331 TELEGRAPH AVE,OAKLAND, CA  94612Census Tract:  4013.00",SAIGON MARKET,109,Alameda
192858,ACTIVE,20,8/21/1987,8/31/2021,"KHALED, MOHAMED AHMED","1468 6TH ST,BERKELEY, CA  94710Census Tract:  4220.00",,103,Alameda
193518,ACTIVE,20,2/9/1987,8/31/2021,"MARCUS, PAUL IRWIN","5655 COLLEGE AVE,OAKLAND, CA  94618Census Tract:  4003.00",PAUL MARCUS WINES,109,Alameda
194485,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"867 ISLAND DR,ALAMEDA, CA  94502-6751Census Tract:  4283.02",SAFEWAY INC #951,101,Alameda
194488,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"1500 SOLANO AVE,ALBANY, CA  94707-2107Census Tract:  4206.00",SAFEWAY INC 676,102,Alameda
194491,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"20629 REDWOOD RD,CASTRO VALLEY, CA  94546-5621Census Tract:  4309.00",SAFEWAY INC #768,100,Alameda
194493,ACTIVE,21,2/20/1987,6/30/2021,SAFEWAY INC,"39100 ARGONAUT WAY,FREMONT, CA  94538-1304Census Tract:  4419.23",SAFEWAY INC #309,105,Alameda
194497,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"3902 WASHINGTON BLVD,FREMONT, CA  94538Census Tract:  4423.01",SAFEWAY INC #993,105,Alameda
194498,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"22280 FOOTHILL BLVD,HAYWARD, CA  94541-2371Census Tract:  4312.00",SAFEWAY INC #971,106,Alameda
194500,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"231 W JACKSON ST,HAYWARD, CA  94544-1811Census Tract:  4368.00",SAFEWAY INC #797,106,Alameda
194502,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"1554 1ST ST,LIVERMORE, CA  94550-4302Census Tract:  4516.02",SAFEWAY INC #910,107,Alameda
194507,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"3550 FRUITVALE AVE,OAKLAND, CA  94602-2327Census Tract:  4048.00",SAFEWAY INC #908,109,Alameda
194509,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"2096 MOUNTAIN BLVD,OAKLAND, CA  94611-2817Census Tract:  4045.02",SAFEWAY INC #654,109,Alameda
194512,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"555 BANCROFT AVE,SAN LEANDRO, CA  94577-2023Census Tract:  4322.00",SAFEWAY INC #790,112,Alameda
194515,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"699 LEWELLING BLVD, STE 150,SAN LEANDRO, CA  94579-1851Census Tract:  4336.00",SAFEWAY INC #2315,112,Alameda
194516,ACTIVE,21,1/22/1987,6/30/2021,SAFEWAY INC,"1499 WASHINGTON AVE,SAN LEANDRO, CA  94577-3699Census Tract:  4326.00",SAFEWAY INC #994,112,Alameda
194599,ACTIVE,20,1/22/1987,6/30/2021,SAFEWAY INC,"4100 REDWOOD RD, STE 2-3,OAKLAND, CA  94619Census Tract:  4080.00",SAFEWAY INC #638,109,Alameda
197319,ACTIVE,20,5/2/1989,9/30/2021,EDWARDS & ANDERSON INC,"630 HIGH ST,OAKLAND, CA  94601Census Tract:  4073.00",HIGH STREET FOOD MART,109,Alameda
200282,ACTIVE,21,4/13/1987,5/31/2021,"HOUGHTON, GUSTAVO C","5655 COLLEGE AVE, STE 106,OAKLAND, CA  94618Census Tract:  4003.00",MARKET HALL FOODS,109,Alameda
209268,ACTIVE,20,12/30/1987,8/31/2021,"MASHHOON, BEHDJET","9750 GOLF LINKS RD,OAKLAND, CA  94605Census Tract:  4099.00",M & S SHELL,109,Alameda
212472,ACTIVE,20,1/20/1988,2/28/2021,"ALQASSARI, MUSID MOHAMED","2837 MARTIN LUTHER KING JR WY,OAKLAND, CA  94609-3515Census Tract:  4014.00",BROTHERS MARKET,109,Alameda
215692,ACTIVE,20,7/5/1988,6/30/2021,7 ELEVEN INC,"2609 DECOTO RD,UNION CITY, CA  94587Census Tract:  4403.08",7 ELEVEN 2234 16824,113,Alameda
216920,ACTIVE,21,4/26/1988,10/31/2021,A & B INVESTMENTS INC,"275 E LEWELLING BLVD,SAN LORENZO, CA  94580Census Tract:  4337.00",MODEL LIQUOR,100,Alameda
217635,ACTIVE,20,9/28/1988,6/30/2021,7 ELEVEN INC,"5741 THORNHILL DR,OAKLAND, CA  94611Census Tract:  4044.00",7 ELEVEN 2232 14170F,109,Alameda
221347,ACTIVE,21,11/28/1988,6/30/2021,RALEYS,"5420 SUNOL BLVD, STE 1,PLEASANTON, CA  94566Census Tract:  4507.01",RALEYS 316,111,Alameda
223842,ACTIVE,20,10/21/1988,6/30/2021,COST PLUS INC,"101 CLAY ST,OAKLAND, CA  94607-3507Census Tract:  9832.00",COST PLUS WORLD MARKET,109,Alameda
225447,ACTIVE,21,5/1/1989,7/31/2021,"BANGER, SUCHA S","3027 ADELINE ST,BERKELEY, CA  94703Census Tract:  4239.01",BLACK & WHITE LIQUORS,103,Alameda
230199,ACTIVE,21,4/4/1989,6/30/2021,SAVE MART SUPERMARKETS,"39441 FREMONT BLVD,FREMONT, CA  94538-2116Census Tract:  4425.00",FOOD MAXX 409,105,Alameda
235253,ACTIVE,20,7/20/1989,6/30/2021,7 ELEVEN INC,"375 W TENNYSON RD,HAYWARD, CA  94544Census Tract:  4377.01",7 ELEVEN 2234 14186G,106,Alameda
235457,ACTIVE,20,7/25/1989,7/31/2021,"FUJITA, LARRY","1220 SAN PABLO AVE,BERKELEY, CA  94706Census Tract:  4220.00",TOKYO FISH MARKET,103,Alameda
236957,ACTIVE,21,10/23/1989,6/30/2021,SAFEWAY INC,"1790 DECOTO RD,UNION CITY, CA  94587Census Tract:  4403.35",SAFEWAY INC #1197,113,Alameda
239076,ACTIVE,21,8/2/1990,6/30/2021,WHOLE FOODS MARKET CALIFORNIA INC,"3000 TELEGRAPH AVE,BERKELEY, CA  94705Census Tract:  4239.02",WHOLE FOODS MARKET,103,Alameda
243817,ACTIVE,20,2/13/1990,7/31/2021,"SINGH, BIKRAMJIT","19573 CENTER ST,CASTRO VALLEY, CA  94546Census Tract:  4308.00",PIZZA EXPRESS,100,Alameda
244615,ACTIVE,20,3/21/1990,5/31/2021,"SALEH, FADHL ABDO","874 85TH AVE,OAKLAND, CA  94621Census Tract:  4094.00",TAIZ MARKET,109,Alameda
248135,ACTIVE,21,8/8/1990,6/30/2021,RALEYS,"39200 PASEO PADRE PKWY,FREMONT, CA  94538Census Tract:  4419.23",RALEYS 315,105,Alameda
248624,ACTIVE,21,9/18/1990,4/30/2021,"SEBAHTU, MICHELE","201 INTERNATIONAL BLVD,OAKLAND, CA  94606Census Tract:  4060.00",LIQUOR SECURITY,109,Alameda
249669,ACTIVE,20,8/6/1990,9/30/2021,"HUNG, SHIH HSIUNG","7840 AMADOR VALLEY BLVD,DUBLIN, CA  94568-2306Census Tract:  4504.00",DUBLIN VALERO INC,114,Alameda
249895,ACTIVE,21,8/27/1990,5/31/2021,"REYES, ERNESTO P","801 LINCOLN AVE,ALAMEDA, CA  94501Census Tract:  4273.00",RALPHS MARKET,101,Alameda
251003,ACTIVE,21,8/31/1990,3/31/2021,MEXICO SUPER MERCADOS INC,"32575 MISSION BLVD,HAYWARD, CA  94544-8260Census Tract:  4381.00",MEXICO SUPER,106,Alameda
252071,ACTIVE,20,10/9/1990,1/31/2021,"SINGH, BIKRAMJIT","22323 REDWOOD RD,CASTRO VALLEY, CA  94546Census Tract:  4312.00",,100,Alameda
256235,ACTIVE,21,1/11/1991,5/31/2021,"CHARLES, LEONARD III","8400 INTERNATIONAL BLVD,OAKLAND, CA  94621Census Tract:  4096.00",ONE STOP LIQUORS,109,Alameda
258500,ACTIVE,21,3/12/1991,10/31/2021,"HAILEMARIAM, BERHANU","4875 TELEGRAPH AVE,OAKLAND, CA  94609Census Tract:  4011.00",,109,Alameda
259849,ACTIVE,21,6/18/1991,6/30/2021,SAFEWAY INC,"5877 JARVIS AVE,NEWARK, CA  94560Census Tract:  4441.00",SAFEWAY INC #1224,108,Alameda
260191,ACTIVE,20,5/29/1991,1/31/2022,"SULLIVAN, MICHAEL T","1490 66TH ST,EMERYVILLE, CA  94608-1014Census Tract:  4251.03",BEANNE IMPORTS,104,Alameda
262004,ACTIVE,20,1/21/1992,4/30/2021,"JACKSON, LE THI","7475 BANCROFT AVE,OAKLAND, CA  94605Census Tract:  4085.00",NEW MARKET THE,109,Alameda
262382,ACTIVE,20,8/13/1991,2/28/2021,"REZAIEHOMAMI, HORMOZ","1102 71ST AVE,OAKLAND, CA  94621Census Tract:  4088.00",UNCLE ROSS MARKET,109,Alameda
265270,ACTIVE,21,10/16/1991,10/31/2021,"HUSSAIN, MEHBOOB GULAM","2425 ENCINAL AVE,ALAMEDA, CA  94501Census Tract:  4281.00",ALAMEDA CELLARS WINES & LIQUORS,101,Alameda
266632,ACTIVE,20,12/31/1991,2/28/2021,"DEANDA, MARIA","14327 E 14TH ST,SAN LEANDRO, CA  94578Census Tract:  4331.03",GUADALAJARA MARKET,112,Alameda
269384,ACTIVE,21,3/30/1992,4/30/2021,"VOONG, STEVE","3432 INTERNATIONAL BLVD,OAKLAND, CA  94601Census Tract:  4072.00",WAH MEI HING MARKET & LIQUOR,109,Alameda
275777,ACTIVE,20,10/23/1992,6/30/2021,7 ELEVEN INC,"333 E 14TH ST,SAN LEANDRO, CA  94577Census Tract:  4323.00",7 ELEVEN 2232 14204F,112,Alameda
275778,ACTIVE,20,11/2/1992,6/30/2021,7 ELEVEN INC,"1240 MANOR BLVD,SAN LEANDRO, CA  94579Census Tract:  4335.00",7 ELEVEN 2232 17008E,112,Alameda
276678,ACTIVE,20,10/2/1992,8/31/2021,"HADJIAN, HOOSHANG","1894 UNIVERSITY AVE,BERKELEY, CA  94703Census Tract:  4230.00",UNIVERSITY VALERO,103,Alameda
276981,ACTIVE,20,11/2/1992,1/31/2022,"ALGAZALI, MOHAMED","4840 MELROSE AVE,OAKLAND, CA  94601Census Tract:  4076.00",MELROSE MARKET,109,Alameda
278842,ACTIVE,21,11/23/1992,2/28/2021,"SINGH, DARA","3040 PACIFIC AVE,LIVERMORE, CA  94550Census Tract:  4515.01",RAJA LIQUOR & GROCERY,107,Alameda
280844,ACTIVE,21,1/25/1993,4/30/2021,"MOBAREZ, MAHLIA","1944 90TH AVE,OAKLAND, CA  94603Census Tract:  4096.00",USA GROCERY & LIQUOR,109,Alameda
281553,ACTIVE,20,3/12/1993,2/28/2021,"NGUYEN, TRUNG THANH","707 MAIN ST,PLEASANTON, CA  94566Census Tract:  4506.07",PLEASANTON GAS STATION,111,Alameda
281750,ACTIVE,21,6/4/1993,6/30/2021,SAFEWAY INC,"4495 1ST ST,LIVERMORE, CA  94551-4915Census Tract:  4515.04",SAFEWAY INC #1257,107,Alameda
284938,ACTIVE,20,8/17/1993,6/30/2021,7 ELEVEN INC,"38003 MISSION BLVD,FREMONT, CA  94536Census Tract:  4412.00",7 ELEVEN 2234 26343 B,105,Alameda
287031,ACTIVE,21,9/21/1993,6/30/2021,COSTCO WHOLESALE CORPORATION,"2800 INDEPENDENCE DR,LIVERMORE, CA  94551Census Tract:  4507.52",COSTCO WHOLESALE 146,107,Alameda
289057,ACTIVE,20,8/17/1994,7/31/2021,XTRA OIL COMPANY,"1701 PARK ST,ALAMEDA, CA  94501Census Tract:  4272.00",CHEVRON,101,Alameda
289061,ACTIVE,20,12/29/1993,11/30/2021,"ANGLE, BALAJI S","2008 1ST ST,LIVERMORE, CA  94550Census Tract:  4516.01",B & C GAS MINI MART,107,Alameda
290324,ACTIVE,21,1/6/1994,6/30/2021,TRADER JOES COMPANY,"5700 CHRISTIE AVE,EMERYVILLE, CA  94608Census Tract:  4251.02",TRADER JOES 72,104,Alameda
290538,ACTIVE,20,1/27/1994,12/31/2021,ODDLOTS WINE SHOP INC,"1025 SAN PABLO AVE,ALBANY, CA  94706Census Tract:  4205.00",,102,Alameda
293372,ACTIVE,20,4/11/1994,3/31/2021,GIL MOORE OIL COMPANY,"1051 AIRWAY BLVD,LIVERMORE, CA  94551Census Tract:  4507.52",BERNARDS SHELL,107,Alameda
293924,ACTIVE,20,4/11/1994,3/31/2021,"REZAIEHOMAMI, HORMOZ","9261 INTERNATIONAL BLVD,OAKLAND, CA  94603Census Tract:  4094.00",ROSS FOOD MARKET,109,Alameda
294694,ACTIVE,21,11/17/1995,5/31/2021,BEVERAGES & MORE INC,"836 SAN PABLO AVE,ALBANY, CA  94706Census Tract:  4203.00",BEVMO,102,Alameda
294828,ACTIVE,21,11/4/1994,6/30/2021,SAFEWAY INC,"3889 SAN PABLO AVE,EMERYVILLE, CA  94608Census Tract:  4251.04",PAC N SAVE #3125,104,Alameda
295222,ACTIVE,20,5/19/1994,4/30/2021,"RUCKMAN, MARK WAYNE","1535 BUENA VISTA AVE,ALAMEDA, CA  94501Census Tract:  4273.00",FORTMAN MARINA STORE,101,Alameda
295223,ACTIVE,20,5/26/1994,6/30/2021,7 ELEVEN INC,"2301 LINCOLN AVE,ALAMEDA, CA  94501Census Tract:  4272.00",7 ELEVEN 2232 24003 C,101,Alameda
295348,ACTIVE,21,5/13/1994,9/30/2021,"PURAYAMPALLIL, JACKSON JOSEPH","1800 WHIPPLE RD,UNION CITY, CA  94587Census Tract:  4403.01",OO LIQUORS,113,Alameda
296633,ACTIVE,21,10/3/1995,1/31/2022,BEVERAGES & MORE INC,"525 EMBARCADERO W,OAKLAND, CA  94607Census Tract:  9820.00",BEVMO,109,Alameda
298576,ACTIVE,20,8/23/1994,6/30/2021,7 ELEVEN INC,"5724 THORNTON AVE A,NEWARK, CA  94560Census Tract:  4445.00",7 ELEVEN 2234 14195D,108,Alameda
299596,ACTIVE,21,12/22/1994,11/30/2021,"ALAWDI, ZAKRYA R","3500 MACARTHUR BLVD,OAKLAND, CA  94619Census Tract:  4068.00",,109,Alameda
302213,ACTIVE,20,1/21/1995,12/31/2021,NAM TO CORPORATION,"501 E 12TH ST,OAKLAND, CA  94606Census Tract:  4060.00",SUN HOP FAT 1,109,Alameda
302547,ACTIVE,20,2/2/1995,1/31/2021,ORGANIC WINE COMPANY INC THE,"1111 PINE ST,OAKLAND, CA  94607Census Tract:  4017.00",ORGANIC WINE COMPANY INC THE,109,Alameda
303244,ACTIVE,20,1/9/1995,12/31/2021,"KHOLDI, ALI A","4700 1ST ST,LIVERMORE, CA  94551Census Tract:  4514.01",SPRINGTOWN EXXON,107,Alameda
305568,ACTIVE,21,8/24/1995,7/31/2021,WELCOME MARKET INC,"34444 FREMONT BLVD,FREMONT, CA  94555Census Tract:  4414.01",99 RANCH MARKET,105,Alameda
309029,ACTIVE,20,7/25/1995,6/30/2021,VINO INC,"6319 COLLEGE AVE,OAKLAND, CA  94618-1331Census Tract:  4004.00",VINO,109,Alameda
309670,ACTIVE,21,1/24/1996,6/30/2021,COSTCO WHOLESALE CORPORATION,"1900 DAVIS ST,SAN LEANDRO, CA  94577Census Tract:  4324.00",COSTCO WHOLESALE 118,112,Alameda
310255,ACTIVE,21,9/6/1995,6/30/2021,SAVE MART SUPERMARKETS,"27300 HESPERIAN BLVD,HAYWARD, CA  94545-3544Census Tract:  4373.00",FOOD MAXX 406,106,Alameda
311049,ACTIVE,21,9/28/1995,6/30/2021,"THRIFTY PAYLESS, INC.","3848 CASTRO VALLEY BLVD,CASTRO VALLEY, CA  94546Census Tract:  4308.00",RITE AID STORE 5922,100,Alameda
311063,ACTIVE,21,9/28/1995,6/30/2021,"THRIFTY PAYLESS, INC.","968 MURRIETA BLVD,LIVERMORE, CA  94550Census Tract:  4516.02",RITE AID STORE 5925,107,Alameda
311069,ACTIVE,21,8/9/1996,6/30/2021,"THRIFTY PAYLESS, INC.","1355 MACARTHUR BLVD,SAN LEANDRO, CA  94577Census Tract:  4327.00",RITE AID STORE 5937,112,Alameda
311071,ACTIVE,21,9/28/1995,6/30/2021,"THRIFTY PAYLESS, INC.","1650 DECOTO RD,UNION CITY, CA  94587Census Tract:  4403.35",RITE AID STORE 5943,113,Alameda
311764,ACTIVE,20,10/6/1995,9/30/2021,"BANSAL, BHUSMAN K","809 E STANLEY BLVD,LIVERMORE, CA  94550Census Tract:  4516.02",S & B STANLEY SHELL,107,Alameda
312263,ACTIVE,21,5/3/1996,4/30/2021,"CHOI, MYUNG WON","4051 SAN PABLO AVE,EMERYVILLE, CA  94608Census Tract:  4251.04",BLACK & WHITE MARKET,104,Alameda
313148,ACTIVE,21,11/27/1995,10/31/2021,WAREHOUSE CONCEPTS,"26905 MISSION BLVD, STE D,HAYWARD, CA  94544Census Tract:  4379.00",FOOD SOURCE 710,106,Alameda
313495,ACTIVE,21,11/30/1995,10/31/2021,"ALMOWLLD, ABDO ALMEGED","8137 MACARTHUR BLVD,OAKLAND, CA  94605Census Tract:  4084.00",JIMS LIQUORS,109,Alameda
315497,ACTIVE,21,12/17/1996,6/30/2021,SAFEWAY INC,"1701 SANTA RITA RD,PLEASANTON, CA  94566Census Tract:  4506.05",SAFEWAY INC #1502,111,Alameda
318258,ACTIVE,20,3/28/1996,5/31/2021,"NASHER, ABDO","2001 96TH AVE,OAKLAND, CA  94603Census Tract:  4103.00",MINI MARKET,109,Alameda
318940,ACTIVE,21,5/17/1996,6/30/2021,GROCERY OUTLET INC,"2900 BROADWAY,OAKLAND, CA  94611Census Tract:  4035.01",GROCERY OUTLET,109,Alameda
319302,ACTIVE,21,5/1/1996,8/31/2021,"SAID, ABDULLA M","5350 MARTIN LUTHER KING JR WY,OAKLAND, CA  94609Census Tract:  4007.00",EAST BAY LIQUOR,109,Alameda
319378,ACTIVE,20,6/24/1996,6/30/2021,7 ELEVEN INC,"1880 4TH ST,LIVERMORE, CA  94550Census Tract:  4516.02",7 ELEVEN 2232 14203E,107,Alameda
322296,ACTIVE,21,10/16/1996,9/30/2021,"GHANIM, MUSD ALI M","700 FOOTHILL BLVD,OAKLAND, CA  94606Census Tract:  4054.01",LUCKYS SPOT MARKET,109,Alameda
323550,ACTIVE,20,10/22/1996,9/30/2021,"SULL, RAJINDER","3201 35TH AVE,OAKLAND, CA  94619Census Tract:  4066.01",35TH AVENUE BP,109,Alameda
324351,ACTIVE,21,12/17/1996,11/30/2021,"RUIZ DE PULIDO, MARIA","2700 23RD AVE,OAKLAND, CA  94606Census Tract:  4064.00",EDS LIQUORS,109,Alameda
325971,ACTIVE,20,4/22/1997,3/31/2021,"SHARIFF, KHALED AHMED","1100 24TH ST,OAKLAND, CA  94607Census Tract:  4016.00",K & D MARKET,109,Alameda
326419,ACTIVE,20,3/18/1999,12/31/2021,TD & LN INVESTMENT INC,"392 W HARDER RD,HAYWARD, CA  94544Census Tract:  4374.00",HARDER ROAD BEACON,106,Alameda
328524,ACTIVE,20,4/16/1997,3/31/2021,VINO INC,"4027 PIEDMONT AVE,OAKLAND, CA  94611Census Tract:  4041.02",VINO,109,Alameda
329290,ACTIVE,21,4/15/1997,3/31/2021,"TOBAR, IDALIA","346 GRAND AVE,OAKLAND, CA  94610Census Tract:  4037.01",LAKE MERRITT SUPER,109,Alameda
332401,ACTIVE,21,9/15/1997,8/31/2021,"LUSTER, MARSHA A","10625 INTERNATIONAL BLVD,OAKLAND, CA  94603Census Tract:  4093.00",LUSTERS,109,Alameda
335008,ACTIVE,20,10/17/1997,6/30/2021,7 ELEVEN INC,"477 HACIENDA AVE,SAN LORENZO, CA  94580Census Tract:  4358.00",7 ELEVEN STORE 2232 14180F,100,Alameda
335130,ACTIVE,21,11/20/1997,10/31/2021,"YU, BYONG JOO","2370 TELEGRAPH AVE,OAKLAND, CA  94612Census Tract:  4013.00",KP ASIAN MARKET,109,Alameda
337177,ACTIVE,20,12/16/1997,11/30/2021,"GAMCH, ERLINDA","39707 PASEO PADRE PKWY,FREMONT, CA  94538Census Tract:  4419.21",CIVIC CENTER CHEVRON,105,Alameda
337182,ACTIVE,20,12/18/1997,11/30/2021,"AZIMI, SHAHRAM","1700 POWELL ST,EMERYVILLE, CA  94608Census Tract:  4251.02",EMERY BAY PETROLEUM INC,104,Alameda
337899,ACTIVE,21,1/26/1998,12/31/2021,"SINGH, PARGAT","19125 REDWOOD RD,CASTRO VALLEY, CA  94546-3453Census Tract:  4307.00",REDWOOD MARKET,100,Alameda
338103,ACTIVE,21,3/4/1998,2/28/2021,"MOHAMMED, YAHYA ABDULLA","350 E 18TH ST,OAKLAND, CA  94606Census Tract:  4053.01",CARRIAGE TRADE LIQUORS,109,Alameda
338543,ACTIVE,20,3/2/1998,4/30/2021,"ALKINDI, KARAMA A","7900 HOLLY ST,OAKLAND, CA  94621Census Tract:  4085.00",HOLLY MARKET,109,Alameda
338632,ACTIVE,20,2/17/1998,6/30/2021,7 ELEVEN INC,"32215 ALVARADO NILES RD,UNION CITY, CA  94587Census Tract:  4403.07",7 ELEVEN 2234 16104,113,Alameda
339040,ACTIVE,21,4/10/1998,3/31/2021,C & J COX CORPORATION,"5933 DOUGHERTY RD,DUBLIN, CA  94568Census Tract:  4503.00",DOUGHERTY ROAD SHELL,114,Alameda
339130,ACTIVE,20,4/21/1998,6/30/2021,AMERICAN GOLF CORPORATION,"13800 MONARCH BAY DR,SAN LEANDRO, CA  94577Census Tract:  4334.00",MONARCH BAY GOLF CLUB,112,Alameda
339196,ACTIVE,20,5/28/1998,4/30/2021,APS WINE AND SPIRITS INC,"9401 SAN LEANDRO ST,OAKLAND, CA  94603-2318Census Tract:  4094.00",APS WINE AND SPIRITS,109,Alameda
339440,ACTIVE,20,3/9/1998,2/28/2021,"OBAD, ALI AHMED","3147 ADELINE ST,OAKLAND, CA  94608Census Tract:  4015.00",N & A MARKET,109,Alameda
340316,ACTIVE,21,4/15/1998,3/31/2021,"ALAZZANI, SALEH","2940 LINDEN ST,OAKLAND, CA  94608Census Tract:  4015.00",ORLANDO MARKET,109,Alameda
340809,ACTIVE,20,5/22/1998,4/30/2021,"CHOY, MARGARET","1960 LEWELLING BLVD,SAN LEANDRO, CA  94579Census Tract:  4335.00",FOODNET SUPERMARKET,112,Alameda
341377,ACTIVE,21,5/14/1998,4/30/2021,"ELOUDI, SALEM RASHED","2900 PARK BLVD,OAKLAND, CA  94610Census Tract:  4056.00",FOOD 24 CONVENIENCE MARKET,109,Alameda
343072,ACTIVE,20,7/8/1998,6/30/2021,CHEVRON STATIONS INC,"5300 MOWRY AVE,FREMONT, CA  94538Census Tract:  4428.00",STATION 94230,105,Alameda
344126,ACTIVE,21,9/3/1998,8/31/2021,"SINGH, RINKI","138 W JUANA AVE,SAN LEANDRO, CA  94577Census Tract:  4326.00",SAN LEANDRO EXPRESS LIQUORS,112,Alameda
345262,ACTIVE,21,9/4/1998,8/31/2021,"ALJAMAL, KAIYD","1333 PERALTA ST,OAKLAND, CA  94607Census Tract:  4018.00",SAV MOR LIQUORS,109,Alameda
346320,ACTIVE,21,7/21/1999,6/30/2021,SAFEWAY INC,"3747 GRAND AVE,OAKLAND, CA  94610Census Tract:  4039.00",SAFEWAY INC #1119,109,Alameda
346987,ACTIVE,20,10/26/1998,6/30/2021,7 ELEVEN INC,"13792 E 14TH ST,SAN LEANDRO, CA  94578Census Tract:  4331.04",7 ELEVEN 2232 19250E,112,Alameda
